trt,site,yr,month,day,line,ring,count
cattle,cattle_2,2022,6,13,1,4,0
cattle,cattle_2,2022,6,13,1,5,0
cattle,cattle_2,2022,6,13,1,6,0
cattle,cattle_2,2022,6,13,1,7,0
cattle,cattle_2,2022,6,13,1,8,2
cattle,cattle_2,2022,6,13,1,9,1
cattle,cattle_2,2022,6,13,1,10,1
cattle,cattle_2,2022,6,13,1,11,1
cattle,cattle_2,2022,6,13,1,12,0
cattle,cattle_2,2022,6,13,1,13,1
cattle,cattle_2,2022,6,13,1,14,0
cattle,cattle_2,2022,6,13,1,15,0
cattle,cattle_2,2022,6,13,6,1,0
cattle,cattle_2,2022,6,13,6,2,1
cattle,cattle_2,2022,6,13,6,3,1
cattle,cattle_2,2022,6,13,6,4,0
cattle,cattle_2,2022,6,13,6,5,0
cattle,cattle_2,2022,6,13,6,6,0
cattle,cattle_2,2022,6,13,6,7,0
cattle,cattle_2,2022,6,13,6,8,0
cattle,cattle_2,2022,6,13,6,9,1
cattle,cattle_2,2022,6,13,6,10,0
cattle,cattle_2,2022,6,13,6,11,0
cattle,cattle_2,2022,6,13,6,12,0
cattle,cattle_2,2022,6,13,6,13,0
cattle,cattle_2,2022,6,13,6,14,0
cattle,cattle_2,2022,6,13,6,15,1
cattle,cattle_3,2022,6,23,1,1,0
cattle,cattle_3,2022,6,23,1,2,2
cattle,cattle_3,2022,6,23,1,3,2
cattle,cattle_3,2022,6,23,1,4,2
cattle,cattle_3,2022,6,23,1,5,2
cattle,cattle_3,2022,6,23,1,6,1
cattle,cattle_3,2022,6,23,1,7,0
cattle,cattle_3,2022,6,23,1,8,1
cattle,cattle_3,2022,6,23,1,9,1
cattle,cattle_3,2022,6,23,1,10,0
cattle,cattle_3,2022,6,23,1,11,1
cattle,cattle_3,2022,6,23,1,12,0
cattle,cattle_3,2022,6,23,1,13,1
cattle,cattle_3,2022,6,23,1,14,0
cattle,cattle_3,2022,6,23,1,15,0
cattle,cattle_3,2022,6,23,6,1,1
cattle,cattle_3,2022,6,23,6,2,2
cattle,cattle_3,2022,6,23,6,3,0
cattle,cattle_3,2022,6,23,6,4,3
cattle,cattle_3,2022,6,23,6,5,3
cattle,cattle_3,2022,6,23,6,6,1
cattle,cattle_3,2022,6,23,6,7,1
cattle,cattle_3,2022,6,23,6,8,2
cattle,cattle_3,2022,6,23,6,9,0
cattle,cattle_3,2022,6,23,6,10,1
cattle,cattle_3,2022,6,23,6,11,0
cattle,cattle_3,2022,6,23,6,12,2
cattle,cattle_3,2022,6,23,6,13,1
cattle,cattle_3,2022,6,23,6,14,1
cattle,cattle_3,2022,6,23,6,15,3
trtpd,trtpd_1,2022,6,16,1,1,0
trtpd,trtpd_1,2022,6,16,1,2,0
trtpd,trtpd_1,2022,6,16,1,3,0
trtpd,trtpd_1,2022,6,16,1,4,0
trtpd,trtpd_1,2022,6,16,1,5,0
trtpd,trtpd_1,2022,6,16,1,6,1
trtpd,trtpd_1,2022,6,16,1,7,0
trtpd,trtpd_1,2022,6,16,1,8,0
trtpd,trtpd_1,2022,6,16,1,9,0
trtpd,trtpd_1,2022,6,16,1,10,0
trtpd,trtpd_1,2022,6,16,1,11,0
trtpd,trtpd_1,2022,6,16,1,12,0
trtpd,trtpd_1,2022,6,16,1,13,0
trtpd,trtpd_1,2022,6,16,1,14,0
trtpd,trtpd_1,2022,6,16,1,15,0
trtpd,trtpd_1,2022,6,16,6,1,0
trtpd,trtpd_1,2022,6,16,6,2,0
trtpd,trtpd_1,2022,6,16,6,3,0
trtpd,trtpd_1,2022,6,16,6,4,0
trtpd,trtpd_1,2022,6,16,6,5,0
trtpd,trtpd_1,2022,6,16,6,6,0
trtpd,trtpd_1,2022,6,16,6,7,0
trtpd,trtpd_1,2022,6,16,6,8,0
trtpd,trtpd_1,2022,6,16,6,9,0
trtpd,trtpd_1,2022,6,16,6,10,0
trtpd,trtpd_1,2022,6,16,6,11,0
trtpd,trtpd_1,2022,6,16,6,12,0
trtpd,trtpd_1,2022,6,16,6,13,0
trtpd,trtpd_1,2022,6,16,6,14,0
trtpd,trtpd_1,2022,6,16,6,15,0
trtpd,trtpd_2,2022,6,9,1,1,0
trtpd,trtpd_2,2022,6,9,1,2,0
trtpd,trtpd_2,2022,6,9,1,3,0
trtpd,trtpd_2,2022,6,9,1,4,1
trtpd,trtpd_2,2022,6,9,1,5,0
trtpd,trtpd_2,2022,6,9,1,6,0
trtpd,trtpd_2,2022,6,9,1,7,0
trtpd,trtpd_2,2022,6,9,1,8,0
trtpd,trtpd_2,2022,6,9,1,9,0
trtpd,trtpd_2,2022,6,9,1,10,0
trtpd,trtpd_2,2022,6,9,1,11,0
trtpd,trtpd_2,2022,6,9,1,12,0
trtpd,trtpd_2,2022,6,9,1,13,1
trtpd,trtpd_2,2022,6,9,1,14,0
trtpd,trtpd_2,2022,6,9,1,15,0
trtpd,trtpd_2,2022,6,9,6,1,0
