day,mo,yr,time,time2,bison_1_tempC,bison_1_percRH,bison_2_tempC,bison_2_percRH,bison_3_tempC,bison_3_percRH,cattle_1_tempC,cattle_1_percRH,cattle_2_tempC,cattle_2_percRH,cattle_3_tempC,cattle_3_percRH,ungrazed_1_tempC,ungrazed_1_percRH,ungrazed_2_tempC,ungrazed_2_percRH,ungrazed_3_tempC,ungrazed_3_percRH,trtpd_1_tempC,trtpd_1_percRH,trtpd_2_tempC,trtpd_2_percRH,trtpd_3_tempC,trtpd_3_percRH,untrtpd_1_tempC,untrtpd_1_percRH,untrtpd_2_tempC,untrtpd_2_percRH,untrtpd_3_tempC,untrtpd_3_percRH
25,6,2022,5,5am,20.654,41.001,24.729,29.084,27.775,27.082,20.611,39.17,20.225,40.562,21.984,32.405,22.67,37.534,28.762,26.52,21.598,34.457,24.558,32.625,23.957,36.801,21.855,39.389,36.098,20.879,24.429,36.288,25.287,25.836
25,6,2022,11,11am,22.927,30.94,26.831,21.27,23.743,29.939,25.33,25.983,26.445,25.714,23.528,29.548,23.056,36.532,28.118,24.982,25.416,23.297,22.541,31.868,25.544,28.132,24.343,33.407,29.963,20.342,25.973,26.3,23.271,28.425
25,6,2022,17,5pm,6.668,100,4.609,98.828,4.866,97.143,9.543,75.653,7.698,86.422,12.717,51.99,11.13,74.09,7.226,84.005,6.282,82.344,9.5,81.123,8.041,91.184,10.272,80.928,3.537,100,8.813,76.996,8.642,71.575
25,6,2022,23,11pm,7.912,94.432,2.035,100,7.269,89.792,7.097,92.186,4.781,94.335,8.985,65.495,5.038,100,5.767,99.341,2.378,100,4.652,100,7.269,96.068,4.437,100,1.477,100,7.44,85.788,9.414,76.142
26,6,2022,5,5am,31.207,23.053,32.752,15.189,32.366,20.366,29.706,25.812,28.247,31.404,27.99,22.002,33.567,26.496,34.425,18.315,31.465,20.073,33.095,20.488,34.982,19.145,29.577,23.687,42.533,14.066,31.894,24.151,39.573,14.164
26,6,2022,11,11am,29.663,20.513,34.296,13.748,29.148,20.366,31.379,24.347,40.817,14.481,32.366,13.895,29.534,23.419,33.438,16.581,31.465,18.486,30.006,19.805,35.669,18.266,29.62,23.81,39.702,11.966,31.207,19.316,32.494,16.337
26,6,2022,17,5pm,12.503,63.834,10.915,58.559,7.698,81.905,15.163,45.324,9.071,74.188,14.819,38.608,9.414,79.072,12.76,55.824,6.797,87.937,13.876,55.336,11.73,64.42,10.272,83.443,4.909,86.545,11.173,67.888,9.5,67.082
26,6,2022,23,11pm,9.114,100,4.909,100,7.955,91.917,13.146,57.729,10.529,66.618,9.585,62.418,4.051,100,11.859,62.222,3.794,99.438,6.153,94.603,10.186,79.609,5.939,100,5.21,97.631,9.671,78.291,11.516,71.306
27,6,2022,5,5am,31.593,24.811,38.629,15.409,37.771,19.243,34.94,20.733,27.089,30.061,31.979,19.609,31.422,29.597,40.517,15.873,32.366,22.076,32.795,25.128,37.428,17.485,33.309,25.226,51.242,11.209,35.068,23.248,38.929,15.726
27,6,2022,11,11am,30.907,21.538,38.586,10.208,33.266,13.944,36.956,15.726,40.731,10.183,35.54,11.795,31.765,24.567,40.946,12.796,34.639,15.092,33.095,17.558,39.315,15.604,32.88,19.805,43.091,9.695,35.841,17.46,34.082,19.267
27,6,2022,17,5pm,10.401,89.133,11.73,61.856,13.747,54.799,19.066,38.779,11.216,66.984,18.166,35.629,11.902,74.823,15.291,46.545,10.443,62.173,14.819,61.099,14.133,59.072,14.004,68.962,7.998,68.303,14.476,54.896,12.288,63.639
27,6,2022,23,11pm,11.001,99.414,12.031,66.618,11.773,79.365,16.836,45.324,12.803,57.167,12.546,55.653,6.497,100,16.063,45.934,8.127,100,7.869,90.696,11.301,82.051,7.869,97.509,8.77,78.291,12.202,71.722,15.034,61.734
28,6,2022,5,5am,34.982,26.154,34.553,22.906,33.009,25.397,30.006,30.769,28.29,32.821,29.749,27.448,31.25,35.165,36.398,21.832,31.465,25.201,30.607,30.33,35.068,24.054,32.194,29.988,42.19,15.092,36.57,24.2,35.197,21.954
28,6,2022,11,11am,30.306,36.215,31.979,28.767,33.224,27.35,33.395,31.648,37.557,19.438,33.61,24.982,32.623,30.476,34.21,28.303,33.052,23.443,32.837,29.231,31.808,31.648,34.21,31.99,32.065,28.156,35.54,26.545,35.111,25.446
28,6,2022,17,5pm,20.782,57.851,21.726,50.647,19.581,61.587,20.096,60.464,20.139,58.388,20.482,62.125,20.268,62.295,20.311,55.165,20.911,62.564,20.611,57.241,20.697,57.924,20.182,64.493,21.512,53.04,20.568,59.536,19.753,64.957
28,6,2022,23,11pm,15.935,91.697,14.219,90.672,15.677,87.546,15.163,76.606,13.146,91.893,16.75,73.284,13.06,91.941,14.262,79.023,10.958,98.486,14.347,83.565,15.677,84.689,13.833,88.498,13.876,89.133,16.578,76.777,19.238,71.429
29,6,2022,5,5am,27.389,38.999,39.616,14.286,28.848,23.394,25.287,32.112,27.732,46.447,28.676,25.519,33.824,23.907,32.537,28.523,24.214,34.212,31.379,30.549,27.99,32.674,35.411,25.031,38.2,14.676,31.851,28.84,36.913,16.02
