"","site","bison_dens","cattle_dens","PD_pres","insecticide","month","Temp_past20dayMean","Temp_samplingday","soil_PC1_posOther","soil_PC2_posCN","w_C","w_N","w_Ca","w_K","w_Mg","w_Na","w_P","w_Si","f_C","f_N","f_Ca","f_K","f_Mg","f_Na","f_P","f_Si","g_C","g_N","g_Ca","g_K","g_Mg","g_Na","g_P","g_Si","grass_PC1","forb_PC1","g_per_m2_est","g_per_m2_SE","trt","ghop_m2_est","ghop_m2_SE","g_m2_woody.mean","g_m2_woody.se","perc_woody.mean","perc_woody.se","g_m2_forb.mean","g_m2_forb.se","perc_forb.mean","perc_forb.se","g_m2_grass.mean","g_m2_grass.se","perc_grass.mean","perc_grass.se"
"24","cattle_3",0.000000,0.026300,0,0,9,26.18743,30.88550, 0.17661315,-1.17127537,NA,NA,NA,NA,NA,NA,NA,NA,45.47,1.15, 4779.581, 7594.790,1830.6587,1326,1275.8084, 790.95808,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.11264880,143.9995, 4.291583,"cattle", 9.0000000, 1.2998674,  0.000000,  0.000000, 0.0000000, 0.0000000, 22.96000000,  8.67816801,63.21550413,17.64066724,  0.0020000,  0.0020000, 0.009704027, 0.009704027
"25","trtpd_1",0.014448,0.000000,1,1,8,25.69831,26.85275, 2.61073645, 0.58850537,NA,NA,NA,NA,NA,NA,NA,NA,38.01,2.09, 9332.982,32957.251,4094.9123,8093,1511.8129, 440.11696,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2.33958170,139.6221,19.193097,"trtpd", 1.6666667, 1.6666667,  0.000000,  0.000000, 0.0000000, 0.0000000, 39.60000000, 23.18965287,32.09218465,17.01945105,  0.0600000,  0.0244949, 0.129659033, 0.084612918
"26","trtpd_1",0.014448,0.000000,1,1,6,NA,23.39950,-2.16526391,-0.81778834,43.16,2.33, 4779.625,14887.625,1098.3750, 6529,1186.3750,  38.81250,37.45,3.71, 8395.875,50362.125,7400.0000,3851,2558.2500,  44.68750,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4.79204387,107.6337, 2.006965,"trtpd", 0.3333333, 0.3333963, 25.400000, 25.400000,12.3300971,12.3300971, 39.20000000,  8.65678924,77.85843638,14.57057118,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"27","trtpd_1",0.014448,0.000000,1,1,7,21.39275,23.61400,-0.60918775, 0.58474559,NA,NA,NA,NA,NA,NA,NA,NA,36.10,2.77, 9703.438,35372.625,6200.4375,3039,2656.0625,  66.31250,NA,NA,NA,NA,NA,NA,NA,NA,NA, 3.58339003,134.9081,16.499329,"trtpd", 1.0000000, 0.5570860,  0.000000,  0.000000, 0.0000000, 0.0000000, 64.40000000, 29.83387337,71.35468135, 7.44469232,  0.0200000,  0.0200000, 0.086580087, 0.086580087
"28","trtpd_1",0.014448,0.000000,1,1,9,25.22856,25.53375,-0.41733901, 2.40356820,42.77,3.17, 4207.267,35016.036,1345.2252,10088, 989.0090, 105.16517,31.07,1.32, 9486.220,25010.671,3642.8659,6733,1424.2683,1445.54878,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1.44256867,145.6831,17.846209,"trtpd", 0.3333333, 0.3333963, 13.180000, 13.180000, 2.1223833, 2.1223833,111.18000000, 98.65908169,33.62804024,19.94332314,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"29","trtpd_2",0.014448,0.000000,1,1,8,27.70555,26.70275, 0.34433320,-0.39847712,47.05,1.39, 4730.490,10394.986,1498.5014, 1290,1763.7464, 247.55043,41.94,1.79, 5015.680,21835.148,2123.5503,1302,1517.9882, 556.33136,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61264044,203.9358,32.998657,"trtpd", 0.3333333, 0.3333963, 45.200000, 45.200000,13.8650307,13.8650307, 38.46000000, 19.92013052,61.89430668,15.39899972,  0.0400000,  0.0244949, 4.021030494, 3.994794274
"30","trtpd_2",0.014448,0.000000,1,1,6,NA,22.30525, 0.43020539,-0.16446518,36.92,1.00, 4115.562, 7177.188,1379.8750, 1378, 849.8125,  31.12500,42.51,2.21, 4861.812,15381.812,1772.8750,1371,1443.3750,  42.81250,37.91,2.00, 419.0625,14604.000, 960.1250,1303,1140.3750,   0.00000, 1.26562959,-0.64867383,185.0795,15.553050,"trtpd", 1.3333333, 0.6312428, 48.000000, 45.059960,18.2360248,16.1785398, 81.00000000, 20.58883192,79.18621666,16.73113947,  2.6020000,  2.5995007, 0.945105435, 0.941264587
"31","trtpd_2",0.014448,0.000000,1,1,7,21.72135,24.21450,-0.74012509,-1.03465078,44.12,1.55, 3514.062,13583.250,1810.2500, 1350,1619.1250,  32.75000,43.28,2.11, 4012.000,18789.562,1930.5000,1363,1475.6250,  32.68750,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62100451,194.8444,15.825876,"trtpd", 1.3333333, 0.6666666, 84.600000, 84.600000,12.4963072,12.4963072, 69.80000000, 28.82256061,45.65877659,17.58038067,  1.0000000,  1.0000000, 0.147710487, 0.147710487
"32","trtpd_2",0.014448,0.000000,1,1,9,26.23355,26.83125,-1.40504103,-1.25188086,44.05,1.09, 4101.745, 4159.875,1656.1371, 1379,1053.9564,1018.00623,44.72,1.50, 4744.852,10162.820,1904.9180,1439,1572.1311, 486.55738,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42728739,193.8342,17.840447,"trtpd", 1.3333333, 0.6312428,119.300000, 88.516462,28.1845354,17.2780389, 16.06000000, 11.11821029,28.09221992,17.70813542,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"33","trtpd_3",0.014448,0.000000,1,1,9,24.75345,30.73550, 1.73622257, 0.18604977,40.52,2.87, 6139.598,21025.747,1684.5977, 9037,1362.0690, 102.47126,39.39,2.34,14579.016,20806.557,5435.6721,2023,2080.8525, 659.34426,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1.88218831,209.6601,50.844860,"trtpd", 3.6666667, 3.6666671,  4.080000,  4.080000, 2.3502304, 2.3502304, 68.04000000, 48.93594384,25.36113606,17.17431644,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"34","trtpd_3",0.014448,0.000000,1,1,6,NA,27.70025, 0.10005447,-0.65725637,NA,NA,NA,NA,NA,NA,NA,NA,40.99,4.70,15824.812,36897.562,4451.1875,1517,3352.0000,  26.37500,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4.27880949,112.0110, 5.050814,"trtpd", 0.6923077, 0.6661734,  0.000000,  0.000000, 0.0000000, 0.0000000, 21.64000000,  7.60457757,49.99513952,14.56228877,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"35","trtpd_3",0.014448,0.000000,1,1,7,21.32140,24.63275,-0.85686011,-0.35417397,NA,NA,NA,NA,NA,NA,NA,NA,40.05,3.27,13000.312,19265.562,3575.6875,1474,2558.9375,  45.00000,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2.04020323,125.4799,17.846213,"trtpd", 0.6666667, 0.4632056,  0.000000,  0.000000, 0.0000000, 0.0000000, 24.40000000, 13.64771043,65.42124295,18.66301611,  0.0000000,  0.0000000, 0.000000000, 0.000000000
