day,mo,yr,date,DOY,site,code,meanTempC,samplinogDate,past20dayMean
10,8,2022,8/10/2022,222,bison_2,bison_2-222,27.32475,no,
11,8,2022,8/11/2022,223,bison_2,bison_2-223,27.6465,no,
12,8,2022,8/12/2022,224,bison_2,bison_2-224,29.84525,no,
13,8,2022,8/13/2022,225,bison_2,bison_2-225,28.097,no,
14,8,2022,8/14/2022,226,bison_2,bison_2-226,24.5255,no,
15,8,2022,8/15/2022,227,bison_2,bison_2-227,23.69975,no,
16,8,2022,8/16/2022,228,bison_2,bison_2-228,27.55,no,
17,8,2022,8/17/2022,229,bison_2,bison_2-229,24.5575,no,
18,8,2022,8/18/2022,230,bison_2,bison_2-230,21.415,no,
19,8,2022,8/19/2022,231,bison_2,bison_2-231,25.11525,no,
20,8,2022,8/20/2022,232,bison_2,bison_2-232,25.43725,no,
21,8,2022,8/21/2022,233,bison_2,bison_2-233,24.225,no,
22,8,2022,8/22/2022,234,bison_2,bison_2-234,28.38675,no,
23,8,2022,8/23/2022,235,bison_2,bison_2-235,18.14425,no,
24,8,2022,8/24/2022,236,bison_2,bison_2-236,21.10425,no,
25,8,2022,8/25/2022,237,bison_2,bison_2-237,19.67775,no,
26,8,2022,8/26/2022,238,bison_2,bison_2-238,26.23075,no,
27,8,2022,8/27/2022,239,bison_2,bison_2-239,26.7455,no,
28,8,2022,8/28/2022,240,bison_2,bison_2-240,18.82,no,
29,8,2022,8/29/2022,241,bison_2,bison_2-241,23.34575,no,
30,8,2022,8/30/2022,242,bison_2,bison_2-242,25.952,no,
31,8,2022,8/31/2022,243,bison_2,bison_2-243,27.979,no,
1,9,2022,9/1/2022,244,bison_2,bison_2-244,23.217,no,
2,9,2022,9/2/2022,245,bison_2,bison_2-245,NA,Y,24.2112625
3,9,2022,9/3/2022,246,bison_2,bison_2-246,NA,no,
9,6,2022,6/9/2022,160,bison_3,bison_3-160,NA,no,
10,6,2022,6/10/2022,161,bison_3,bison_3-161,NA,no,
11,6,2022,6/11/2022,162,bison_3,bison_3-162,NA,no,
12,6,2022,6/12/2022,163,bison_3,bison_3-163,NA,no,
13,6,2022,6/13/2022,164,bison_3,bison_3-164,NA,no,
14,6,2022,6/14/2022,165,bison_3,bison_3-165,NA,Y,
15,6,2022,6/15/2022,166,bison_3,bison_3-166,13.57525,no,
16,6,2022,6/16/2022,167,bison_3,bison_3-167,21.35075,no,
17,6,2022,6/17/2022,168,bison_3,bison_3-168,28.762,no,
18,6,2022,6/18/2022,169,bison_3,bison_3-169,25.89825,no,
19,6,2022,6/19/2022,170,bison_3,bison_3-170,14.75475,no,
20,6,2022,6/20/2022,171,bison_3,bison_3-171,18.79825,no,
21,6,2022,6/21/2022,172,bison_3,bison_3-172,19.17375,no,
22,6,2022,6/22/2022,173,bison_3,bison_3-173,23.83925,no,
23,6,2022,6/23/2022,174,bison_3,bison_3-174,23.63525,no,
24,6,2022,6/24/2022,175,bison_3,bison_3-175,16.41725,no,
25,6,2022,6/25/2022,176,bison_3,bison_3-176,15.91325,no,
26,6,2022,6/26/2022,177,bison_3,bison_3-177,19.29175,no,
27,6,2022,6/27/2022,178,bison_3,bison_3-178,24.13925,no,
28,6,2022,6/28/2022,179,bison_3,bison_3-179,25.37275,no,
29,6,2022,6/29/2022,180,bison_3,bison_3-180,19.62425,no,
30,6,2022,6/30/2022,181,bison_3,bison_3-181,20.12825,no,
1,7,2022,7/1/2022,182,bison_3,bison_3-182,25.062,no,
2,7,2022,7/2/2022,183,bison_3,bison_3-183,25.6625,no,
3,7,2022,7/3/2022,184,bison_3,bison_3-184,17.919,no,
4,7,2022,7/4/2022,185,bison_3,bison_3-185,23.9465,no,
5,7,2022,7/5/2022,186,bison_3,bison_3-186,19.9995,Y,21.1632125
6,7,2022,7/6/2022,187,bison_3,bison_3-187,22.9595,no,
7,7,2022,7/7/2022,188,bison_3,bison_3-188,23.807,no,
8,7,2022,7/8/2022,189,bison_3,bison_3-189,27.0565,no,
9,7,2022,7/9/2022,190,bison_3,bison_3-190,25.126,no,
10,7,2022,7/10/2022,191,bison_3,bison_3-191,20.3,no,
11,7,2022,7/11/2022,192,bison_3,bison_3-192,20.79325,no,
12,7,2022,7/12/2022,193,bison_3,bison_3-193,25.7805,no,
13,7,2022,7/13/2022,194,bison_3,bison_3-194,27.786,no,
14,7,2022,7/14/2022,195,bison_3,bison_3-195,27.432,no,
15,7,2022,7/15/2022,196,bison_3,bison_3-196,27.81825,no,
16,7,2022,7/16/2022,197,bison_3,bison_3-197,28.12925,no,
