day,mo,yr,time,time2,bison_1_tempC,bison_2_tempC,bison_3_tempC,cattle_1_tempC,cattle_2_tempC,cattle_3_tempC,ungrazed_1_tempC,ungrazed_2_tempC,ungrazed_3_tempC,trtpd_1_tempC,trtpd_2_tempC,trtpd_3_tempC,untrtpd_1_tempC,untrtpd_2_tempC,untrtpd_3_tempC
30,6,2022,11,11am,24.3,29.534,27.99,32.494,32.795,28.505,27.303,26.016,28.762,26.96,26.145,27.561,31.25,30.221,27.99
30,6,2022,17,5pm,7.869,5.424,8.384,13.446,7.869,14.905,8.256,12.674,11.773,11.216,10.229,10.872,6.282,11.645,9.242
30,6,2022,23,11pm,8.856,7.827,10.915,11.087,6.368,11.645,5.081,9.414,4.18,6.754,8.084,5.724,7.998,10.787,11.902
1,7,2022,5,5am,37.557,39.23,40.045,38.758,33.953,31.979,35.068,38.758,33.266,33.996,38.586,36.398,37.685,38.372,41.46
1,7,2022,11,11am,31.25,34.982,32.666,30.993,27.689,30.092,36.012,34.596,31.465,34.425,33.052,36.227,34.167,35.068,30.821
1,7,2022,17,5pm,11.13,14.648,15.549,15.849,12.245,19.109,13.79,18.637,12.975,18.166,14.09,17.308,11.602,17.994,14.948
1,7,2022,23,11pm,11.301,10.1,11.988,13.876,9.328,14.305,8.256,13.017,8.727,9.628,12.331,9.714,11.087,13.446,15.034
2,7,2022,5,5am,32.666,37.471,38.372,37.557,29.062,31.25,33.695,41.889,33.095,34.253,40.989,35.411,37.299,39.83,36.784
2,7,2022,11,11am,34.982,39.53,34.382,38.844,42.533,35.841,36.012,39.83,36.57,35.24,38.929,37.17,38.157,41.246,35.626
2,7,2022,17,5pm,19.495,16.278,13.532,20.096,15.12,19.796,19.109,19.967,19.066,19.967,19.367,18.123,17.265,18.895,17.651
2,7,2022,23,11pm,17.35,15.978,16.364,14.004,13.575,15.12,14.562,14.347,15.592,15.592,16.964,15.205,15.935,17.737,16.492
3,7,2022,5,5am,26.917,21.984,17.308,18.981,17.222,16.407,19.538,23.442,30.564,17.694,26.016,20.482,21.769,18.08,18.723
3,7,2022,11,11am,20.396,22.927,21.855,16.879,21.469,20.782,18.766,17.222,22.112,18.766,20.825,19.238,23.657,21.898,20.911
3,7,2022,17,5pm,16.192,17.308,17.393,15.377,18.251,17.393,18.68,16.879,17.479,18.852,16.492,18.938,17.136,18.08,17.565
3,7,2022,23,11pm,15.806,15.163,15.12,13.961,13.79,15.034,14.09,13.275,16.149,13.918,15.677,14.219,15.334,15.291,14.862
4,7,2022,5,5am,27.818,29.105,33.438,26.874,21.126,25.716,29.491,28.976,24.129,27.947,34.811,27.218,24.644,27.561,27.604
4,7,2022,11,11am,30.135,33.653,30.478,35.626,34.253,33.052,30.607,37.042,30.478,32.323,27.99,32.709,37.557,34.768,29.792
4,7,2022,17,5pm,17.608,16.407,16.321,16.964,16.235,16.621,17.522,16.921,16.106,17.565,17.393,17.694,16.407,17.007,16.664
4,7,2022,23,11pm,16.664,16.021,15.549,14.948,15.634,15.291,16.492,14.047,13.318,16.664,16.664,16.578,16.106,16.192,15.42
5,7,2022,5,5am,29.92,35.626,27.947,23.743,30.521,23.7,21.34,21.083,34.167,27.604,35.454,21.512,33.824,29.105,26.746
5,7,2022,11,11am,21.984,26.317,24.043,19.109,17.565,18.337,19.281,18.208,18.852,20.225,24.686,19.281,27.775,27.089,25.759
5,7,2022,17,5pm,13.833,14.948,13.232,15.72,12.932,15.377,16.149,13.704,12.846,15.592,14.776,15.549,14.176,14.605,14.605
5,7,2022,23,11pm,14.605,14.09,14.776,14.519,11.516,14.262,12.76,14.262,10.701,13.06,14.691,12.889,13.446,14.776,14.39
6,7,2022,5,5am,35.583,39.659,38.543,38.243,29.363,33.352,32.752,38.758,36.012,33.266,39.573,38.972,38.2,39.702,39.53
6,7,2022,11,11am,28.547,21.254,22.67,26.617,31.765,29.405,23.614,26.402,17.179,29.363,28.333,24.729,21.469,24.601,23.399
6,7,2022,17,5pm,17.479,16.964,16.921,16.964,16.621,16.836,17.436,16.836,16.836,17.737,17.222,17.694,17.007,17.436,17.093
6,7,2022,23,11pm,15.634,12.674,13.704,13.489,14.347,15.248,14.39,13.489,14.262,14.09,15.334,14.133,13.275,15.12,16.106
7,7,2022,5,5am,32.795,34.21,33.352,31.722,29.963,26.703,29.749,34.897,32.108,28.505,33.052,32.065,33.567,30.435,32.709
7,7,2022,11,11am,31.55,34.253,30.564,31.121,41.332,30.735,30.349,33.181,33.266,30.564,35.24,30.993,34.082,31.808,30.778
7,7,2022,17,5pm,17.007,16.021,15.763,19.281,16.192,17.651,20.911,19.624,22.112,20.825,16.664,19.238,16.321,16.535,16.192
7,7,2022,23,11pm,15.849,14.476,15.549,14.948,15.72,16.063,15.42,14.734,15.935,15.935,15.72,16.235,14.948,16.149,16.021
8,7,2022,5,5am,36.699,36.355,42.233,33.352,32.28,32.666,36.87,38.543,37.685,39.187,37.428,35.926,39.916,36.441,38.972
8,7,2022,11,11am,36.312,38.028,33.695,34.468,45.15,35.326,34.425,34.897,38.457,35.454,39.444,34.596,39.315,33.481,32.451
8,7,2022,17,5pm,17.136,16.879,16.664,17.265,16.149,16.879,17.308,16.664,16.75,17.779,16.921,17.136,17.522,17.737,17.093
8,7,2022,23,11pm,16.921,16.063,15.634,16.149,14.905,15.634,16.621,16.321,14.519,16.879,16.45,16.964,15.892,16.149,16.235
9,7,2022,5,5am,33.781,36.441,36.184,30.135,30.135,30.778,32.408,34.811,36.098,32.923,37.128,31.851,39.187,33.352,36.613
9,7,2022,11,11am,34.039,38.286,33.781,33.095,43.005,34.982,33.009,37.299,43.348,34.21,34.982,33.91,42.576,32.537,36.098
9,7,2022,17,5pm,16.063,16.106,15.72,15.677,15.592,15.849,16.407,15.677,16.235,16.879,15.935,16.921,16.578,17.393,16.063
9,7,2022,23,11pm,15.377,15.377,14.819,14.39,14.691,15.077,13.918,14.819,12.546,14.519,14.862,14.648,15.334,15.334,14.948
10,7,2022,5,5am,36.913,31.508,31.422,28.333,26.488,28.547,32.666,36.355,28.934,29.32,34.94,34.94,30.65,27.303,31.808
10,7,2022,11,11am,25.845,24.944,27.818,25.287,24.172,22.799,25.073,26.402,25.03,25.459,27.175,25.073,24.601,28.805,28.976
10,7,2022,17,5pm,13.489,11.645,11.216,13.103,13.575,16.879,14.347,15.935,12.031,14.991,13.79,14.691,11.816,14.219,14.219
10,7,2022,23,11pm,12.374,10.486,10.744,10.744,9.414,13.79,10.787,11.301,8.213,10.572,12.031,10.744,9.628,11.988,12.159
11,7,2022,5,5am,34.811,36.699,27.647,29.448,31.164,29.234,34.124,38.028,29.834,33.781,35.111,33.567,40.431,27.389,28.419
11,7,2022,11,11am,30.864,32.795,31.979,31.293,34.425,34.253,31.036,36.012,31.937,31.979,34.854,32.837,39.015,34.639,39.358
11,7,2022,17,5pm,14.39,11.988,12.374,18.595,12.546,16.364,13.146,13.361,14.562,16.45,14.519,15.72,12.46,14.948,12.717
11,7,2022,23,11pm,12.245,10.272,11.173,12.288,10.1,13.961,9.156,11.859,8.727,10.701,12.374,11.087,10.1,12.503,12.117
12,7,2022,5,5am,36.441,37.599,38.071,32.923,32.709,33.052,36.227,38.972,35.798,37.471,42.747,33.395,41.847,38.071,39.144
12,7,2022,11,11am,34.296,35.326,33.224,34.082,42.447,34.811,32.108,37.299,35.669,34.511,39.53,33.438,41.718,35.283,38.972
12,7,2022,17,5pm,23.271,19.624,18.552,22.498,17.694,22.027,23.828,23.657,20.997,23.056,23.228,23.356,19.667,18.552,18.895
12,7,2022,23,11pm,17.308,12.288,13.275,19.024,16.535,15.634,16.278,18.552,14.519,16.021,17.136,13.918,13.103,15.806,17.308
13,7,2022,5,5am,39.744,41.932,43.777,34.94,35.154,35.798,34.082,37.128,37.471,38.586,42.79,37.299,48.754,43.391,45.193
13,7,2022,11,11am,30.778,30.435,29.105,41.418,33.738,34.167,35.626,42.705,39.873,39.273,31.937,35.883,32.151,31.937,30.306
13,7,2022,17,5pm,21.555,19.796,20.568,20.782,20.439,20.311,21.726,22.327,23.399,22.241,21.855,21.383,18.166,21.297,19.281
13,7,2022,23,11pm,15.806,15.763,17.694,16.106,16.707,18.723,16.578,20.096,15.806,16.535,16.45,14.648,15.634,17.994,17.05
14,7,2022,5,5am,36.441,38.586,40.774,34.382,32.366,38.415,37.514,42.233,35.025,37.471,39.959,38.157,39.873,42.705,43.434
14,7,2022,11,11am,36.613,37.943,35.583,37.128,38.629,39.53,35.54,38.929,37.042,37.557,46.008,35.926,43.477,41.418,40.002
14,7,2022,17,5pm,17.608,11.645,15.592,22.927,16.235,21.555,16.75,19.839,17.522,19.581,20.611,17.865,13.446,18.938,16.535
14,7,2022,23,11pm,17.35,14.176,17.779,18.166,17.908,19.495,12.288,17.694,11.559,14.219,18.423,12.932,14.776,18.938,18.637
15,7,2022,5,5am,37.514,42.876,43.262,35.54,38.028,35.454,33.996,29.963,38.543,40.131,41.203,34.811,48.024,44.935,45.364
15,7,2022,11,11am,30.864,37.9,36.656,29.749,32.408,33.438,30.178,28.376,31.422,31.765,31.508,29.019,36.656,37.213,38.5
15,7,2022,17,5pm,17.737,13.918,19.024,21.683,17.05,19.024,17.222,21.941,24.214,19.538,17.136,17.308,16.578,18.852,17.908
15,7,2022,23,11pm,14.648,11.044,12.331,15.549,11.559,17.393,14.133,17.908,14.562,14.219,15.549,13.747,11.816,16.492,15.42
16,7,2022,5,5am,41.847,41.46,43.863,34.682,35.454,37.514,40.431,43.391,38.157,42.747,46.094,37.17,45.965,46.351,42.233
16,7,2022,11,11am,38.715,39.401,38.543,37.599,40.56,38.844,36.87,41.074,39.744,38.929,41.117,37.428,47.424,41.975,41.975
16,7,2022,17,5pm,17.608,13.661,16.235,23.485,14.648,21.297,15.592,17.265,17.007,18.123,16.535,15.978,15.077,18.766,17.007
16,7,2022,23,11pm,14.004,11.173,13.876,18.852,13.06,18.723,11.902,17.651,9.414,14.047,15.377,12.717,11.73,16.836,17.222
17,7,2022,5,5am,44.506,45.622,47.681,38.929,39.101,39.358,41.074,43.305,42.49,43.863,48.067,37.943,51.07,47.509,44.421
17,7,2022,11,11am,37.986,41.46,42.833,42.233,41.632,41.289,36.999,44.592,45.021,39.315,38.329,34.725,45.15,42.533,41.074
17,7,2022,17,5pm,24.214,19.41,23.871,26.231,24.558,26.36,20.654,24.172,27.175,26.874,23.142,21.555,20.396,24.601,24.729
17,7,2022,23,11pm,15.806,18.552,19.581,21.169,19.281,21.64,15.077,17.994,21.083,16.063,16.578,13.833,19.753,21.04,20.954
18,7,2022,5,5am,38.929,38.543,39.959,37.256,26.102,26.145,34.382,40.388,35.411,33.481,39.83,33.867,41.632,43.863,39.315
18,7,2022,11,11am,24.987,25.587,24.601,23.185,21.383,23.785,25.931,24.944,24.214,23.185,23.185,24.815,28.462,23.871,25.973
18,7,2022,17,5pm,17.093,15.549,14.991,15.248,16.321,16.879,14.433,15.806,15.849,16.621,16.621,15.12,15.978,15.849,15.806
18,7,2022,23,11pm,15.634,15.592,16.578,15.334,14.519,15.935,17.179,15.334,14.09,16.45,15.034,17.007,15.463,16.021,16.535
19,7,2022,5,5am,28.805,32.923,35.497,27.432,26.66,27.647,29.577,32.28,29.706,29.148,33.138,31.937,34.124,35.626,34.468
19,7,2022,11,11am,34.682,35.411,35.969,33.309,34.897,34.382,33.395,35.926,35.411,33.266,37.471,33.953,38.972,39.23,38.629
19,7,2022,17,5pm,15.463,13.532,13.918,20.782,18.766,20.268,15.034,18.938,17.007,17.05,18.337,15.42,15.892,17.35,19.882
19,7,2022,23,11pm,14.991,20.096,14.133,13.103,18.294,20.568,14.605,16.879,13.747,14.347,14.605,12.546,20.74,18.68,19.281
20,7,2022,5,5am,30.821,36.527,38.286,32.623,28.805,30.178,30.778,36.699,31.293,32.88,34.639,34.854,36.27,39.616,35.54
20,7,2022,11,11am,35.454,34.553,35.411,32.795,32.537,37.213,34.468,40.946,36.913,34.553,39.058,34.253,40.216,38.457,40.517
20,7,2022,17,5pm,14.605,11.902,14.133,21.211,14.605,19.71,14.605,16.235,17.05,17.951,16.45,15.334,13.532,17.694,16.75
20,7,2022,23,11pm,15.163,12.631,16.879,16.836,15.377,17.35,12.288,17.007,8.813,12.245,14.991,10.872,13.318,17.05,19.796
21,7,2022,5,5am,34.425,39.358,42.49,33.653,31.164,37.642,34.639,40.302,36.741,35.54,39.53,40.345,42.318,45.064,45.493
21,7,2022,11,11am,33.867,36.484,34.339,37.042,35.969,36.527,35.583,38.801,37.17,36.312,37.599,36.098,40.431,36.57,36.57
21,7,2022,17,5pm,13.275,11.344,13.704,21.984,14.347,19.324,13.189,20.01,15.163,17.265,15.892,13.833,11.344,17.436,15.978
21,7,2022,23,11pm,10.83,8.813,12.674,18.037,10.872,14.862,8.384,14.991,10.83,10.701,12.417,8.856,8.685,13.575,11.988
22,7,2022,5,5am,40.989,40.645,43.906,35.626,35.111,37.771,40.302,43.048,38.028,37.685,42.447,37.771,43.477,45.922,42.747
22,7,2022,11,11am,34.167,33.481,35.154,35.883,36.999,36.184,35.669,39.187,37.9,35.798,37.128,35.755,35.411,36.57,37.128
22,7,2022,17,5pm,16.793,17.865,16.492,19.281,18.208,19.238,18.68,19.152,17.222,21.297,16.364,20.74,17.779,18.595,17.05
22,7,2022,23,11pm,12.374,10.186,10.186,13.232,11.816,14.691,11.087,12.932,9.843,13.489,12.074,13.146,10.186,14.347,14.004
23,7,2022,5,5am,32.451,35.926,38.715,34.811,27.518,33.052,31.293,38.886,30.135,32.323,36.227,32.494,36.527,42.276,40.345
23,7,2022,11,11am,34.382,30.993,31.422,36.57,38.586,33.738,31.851,37.557,30.006,33.009,40.56,31.422,35.669,37.428,36.484
23,7,2022,17,5pm,16.407,12.159,15.549,17.651,15.248,19.41,18.809,15.248,13.961,16.836,19.581,18.509,14.047,17.694,16.793
23,7,2022,23,11pm,10.744,6.797,8.298,13.189,6.883,12.674,9.457,11.259,7.784,12.46,10.658,9.714,8.556,12.76,10.572
24,7,2022,5,5am,38.715,38.071,39.744,31.808,36.098,33.481,32.752,37.342,34.339,33.61,39.616,34.897,38.157,42.962,41.289
24,7,2022,11,11am,35.111,36.441,34.082,36.699,44.077,34.854,33.138,36.355,37.771,34.811,39.144,33.567,37.943,36.355,37.17
24,7,2022,17,5pm,20.311,19.667,18.294,22.112,19.538,21.04,21.34,22.284,20.182,22.498,19.367,21.812,19.624,19.839,20.225
