"","Estimate","Std..Error","t.value","p.z","element"
"trtbison14",0.0894118242777838,0.127158985942831,0.703149868763359,0.481962356935746,"soilP"
"trtcattle14",-0.0757745028902085,0.127158985942831,-0.595903642423473,0.551239599789217,"soilP"
"trttrtpd14",-0.0734131218556281,0.127158985942831,-0.577333338350413,0.56371429670572,"soilP"
"trtuntrtpd14",0.0509319244857089,0.127158985942831,0.400537359653112,0.688760772301655,"soilP"
"trtbison15",0.0368579391519708,0.0768091583578277,0.479863859206245,0.631324201156473,"soilK"
"trtcattle15",-0.0560677465465852,0.0768091583578277,-0.729961735622523,0.465413574213628,"soilK"
"trttrtpd15",0.0432625000821201,0.0768091583578277,0.563246636300516,0.573266950200931,"soilK"
"trtuntrtpd15",0.0123831039224741,0.0768091583578277,0.161219107033896,0.871920832728984,"soilK"
"trtbison16",0.0109523737273059,0.0851818141531061,0.128576431908577,0.897692816099289,"soilMg"
"trtcattle16",-0.0994899944704696,0.0851818141531061,-1.16797224219299,0.242817961711833,"soilMg"
"trttrtpd16",-0.0346219490060578,0.0851818141531061,-0.406447659635755,0.684413707258005,"soilMg"
"trtuntrtpd16",-0.0271525625246473,0.0851818141531061,-0.31876008740367,0.749908446253512,"soilMg"
"trtbison17",0.10504862032232,0.169889247913196,0.618335895959665,0.536353944530488,"soilNa"
"trtcattle17",0.0766041088313659,0.169889247913196,0.450906162528344,0.652057181817309,"soilNa"
"trttrtpd17",-0.0308358067180476,0.169889247913196,-0.181505345963995,0.855970937372709,"soilNa"
"trtuntrtpd17",-0.0976181372836461,0.169889247913196,-0.574598678154861,0.565562746249036,"soilNa"
